용도,명칭,폭,길이,저수용량(톤),소지재지번주소,위도,경도
저수지,오운2,5.8,37.0,3550,광주광역시 광산구 오운 513번지,35.15897,126.6874
저수지,외등,5.7,125.0,14850,광주광역시 광산구 등임 215번지,35.18008,126.7612
저수지,운수,7.5,80.0,30500,광주광역시 광산구 운수 264-1번지,35.15667,126.7776
저수지,장수,4.5,158.0,14000,광주광역시 광산구 장수 543-1번지,35.18449,126.7791
저수지,종산,5.0,49.0,5500,광주광역시 광산구 광산 271번지,35.24339,126.7449
저수지,칠성,6.6,122.0,46710,광주광역시 광산구 삼거 342-1번지,35.15505,126.6768
저수지,황산,11.6,72.0,37000,광주광역시 광산구 북산 13-2번지,35.18516,126.7142
저수지,흑석,3.0,118.0,5470,광주광역시 광산구 선 162-1번지,35.19818,126.7494
댐,제2수원지,25.0,143.0,525,광주광역시 동구 용연동 일원,35.10213,126.9652
댐,제4수원지,24.5,227.0,1909,광주광역시 북구 석곡동 일원,35.16508,126.9604
